Alimento;Kcal (por 100 g);Grasas (g/100 g);Proteínas (g/100 g);Carbohidratos (g/100 g)
Arroz;364;0,9;6,7;81,6
Arroz blanco de cocción rápida;349;0,6;6,9;78,2
Arroz integral;350;2,2;7,3;74,1
Arroz salvaje;356;1,1;14,7;68,7
Avena;353;7,1;11,7;55,7
Bulgur;344;1,3;12,3;64,5
Cebada;330;1,2;9,9;62,1
Centeno;372;2,5;14,8;65,2
Fécula de maíz;356;0,08;0,41;88
Germen de trigo;355;9,2;28,6;30,6
Gofio canario, tostado;356;2,7;10,1;64,8
Harina de arroz;349;0,7;7,6;78
Harina de centeno;326;1,9;10;59,7
Harina de maíz;342;2,8;8,3;66,3
Harina de trigo;341;1,2;9,9;70,6
Harina integral de trigo;322;2,2;12,7;58,3
Maíz en grano hervido en lata;102;1,3;3,3;18,2
Maíz en mazorca crudo;346;3,8;8,6;64,7
Maíz en mazorca hervido;110;1,5;3,4;18,6
Mijo;356;4,2;11;64,4
Polenta cocinada;61,8;0,31;1,4;13,2
Polenta, harina;350;1,8;7,9;74
Quinoa;354;6,1;14,1;57,2
Salvado de avena;319;7,4;12,3;33,8
Salvado de trigo;274;4,3;15,6;21,7
Sémola de trigo;351;1,1;12,7;69
Barrita de cereales con frutas rojas;392;5;8;78
Barrita de cereales con melocotón y albaricoque;403;7;7;77
Barrita de cereales con pepitas de chocolate;350;7;9;62
Barrita de cereales integrales;393;6;8;76
Barrita de fibra y chocolate;414;16;7;51
Bizcocho de fruta y fibra;383;13;4;58
Cd con base de arroz;388;1,5;7;86
Cd con base de arroz y chocolate;388;2,5;5;85
Cd con base de arroz y trigo integral;375;1;16;74
Cd con base de arroz, trigo integral, frutas rojas;390;1;14;79,5
Cd con base de avena;349;7,2;13,8;54,4
Cd con base de avena integral tostada y miel;388;4,9;8,6;75
Cd con base de maíz;376;0,8;8;83
Cd con base de maíz azucarados;361;0,6;4,5;83,7
Cd con base de trigo y chocolate;364;2,5;8;75
Cd con base de trigo y frutas;348;2;10;65
Cd con base de trigo y miel;387;1,7;7;84
Cd de trigo integral relleno de pasas;358;2;9;71,5
Cd rellenos de chocolate;436;14;7,5;66,6
Cd salvado de trigo completo;338;4;13;48
Cd variados con miel;379;3;5,5;80,7
Cd variados integrales con miel;382;3,1;8;77
Cere ales (almohadillas ricas en fibra);408;14;7,5;63
Cere ales (copos ricos en fibra);356;2;10;67
Cere ales en polvo solubles tipo “Eko”;343;0,42;5,7;73,7
Cereales malteados en polvo;343;0,4;5,7;73,7
Malta;365;2,1;11,2;73,1
Muesli;395;11;9;61
Snacks bajos en calorías de chocolate;332;10;9;50
Tortita de arroz inflado;371;3,5;8,5;75
Tortita de arroz integral;394;3,2;8,6;80,3
Tortita de arroz integral tipo1;369;2,5;7,5;76,5
Tortita de maíz;384;2,4;8,1;81,5
Colines;414;6,2;11,2;77,7
Masa de hojaldre congelada;544;38,5;7,4;41,3
Masa quebrada;372;20,9;6,1;39,3
Pan blanco;243;1,6;8,3;47
Pan blanco sin sal;265;1,1;8;53,9
Pan blanco tipo baguette;273;1,2;8;55,9
Pan blanco tostado;389;4,6;11,5;73,4
Pan blanco tostado sin sal;389;3,9;11,5;73,4
Pan de avena;275;4,4;8,4;48,5
Pan de cebada;248;4,5;6,4;43,5
Pan de centeno;245;3,3;8,5;42,5
Pan de molde;350;13,6;9,3;46,9
Pan de molde integral;239;3;10;40
Pan de pasas;269;3;8,3;49,6
Pan de perrito;271;4,7;7,5;47,5
Pan de pita;274;1,2;9,1;55,7
Pan de trigo y centeno;243;1;6,7;49
Pan de Viena;268;2,4;10,8;49,7
Pan fajitas;315;6,4;8,6;53
Pan integral;259;3;10,9;44
Pan integral tostado;385;7;13;62
Pan sin gluten;242;5,2;4,3;42,3
Pan tipo hamburguesa;271;4,7;7,5;47,5
Pan tipo picatoste con omega;1;6,2;0;10,2
Panecillos hechos con aceite de oliva;305;4,5;8;56,6
Picatostes;371;2;11;75,6
Cuscús;377;0,64;12,8;77,4
Pasta;359;1,6;12,8;70,9
Pasta al huevo;374;4,2;12,4;69,9
Pasta de colores;352;1;13,1;70,6
Pasta fresca cocida;130;1,1;5,2;24,9
Pasta integral;352;2,9;13,1;63,7
Pasta rellena de carne hervida;104;3,4;4,7;12,7
Pasta rellena de queso hervida;151;5,1;9,5;16,3
Altramuz seco;394;9,7;36,2;40,4
Garbanzo;341;5,5;20,8;44,3
Guisante seco;302;1,4;22,9;41,2
Haba seca;307;2,1;26,1;33,3
Harina de algarrobo;300;0,65;4,6;49,1
Judía blanca;284;1,6;21,1;34,7
Judía pinta;292;0,83;23,6;35,1
Lenteja;305;1,7;23,2;40,6
Soja;373;18,3;34,7;6,3
Cocido madrileño en conserva;139;7,8;6,9;9,6
Garb anzo en conserva;120;2,9;7,2;14,1
Judía blanca en conserva;101;0,3;6,7;15,7
Judía pinta en conserva;84,2;0,2;8,4;9,9
Lenteja en conserva;109;0,7;8,8;14,9
Batido fermentado de soja;82,4;5,2;5;3,9
Bebida de soja;54,8;1,8;3,2;5,8
Brote de soja;54,6;1;5,5;4,7
Fideos de soja;340;0,07;0,09;83,2
Hamburguesa vegetal;192;6,3;15,7;15,7
Harina de soja;475;23,5;36,8;23,5
Lecitina de soja;501;53;0;5,9
Lentejas, brotes;129;0,55;9;22,1
Miso;218;6;11,7;26,5
Salchicha vegetal;283;18,2;18,5;9,8
Tempeh;104;1,5;18;3,5
Tofu;89,4;4,8;8,1;3,3
Acedera;32,9;0,7;2;3,2
Acelga;29,8;0,2;1,9;4,5
